year,ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,ag_trust_factor
2011,E06000019,183619,193,62486,0.003088691866978203,567.1425119226708,female,0-4,4621,0.0251662409663488,7.773076379517521e-05
2011,E06000019,183619,193,62486,0.003088691866978203,567.1425119226708,male,0-4,4936,0.02688174970999733,8.302944169941242e-05
2011,E06000020,166831,57,60623,0.0009402372037015654,156.86071293073584,female,0-4,5596,0.03354292667429914,3.153830758020967e-05
2011,E06000020,166831,57,60623,0.0009402372037015654,156.86071293073584,male,0-4,5830,0.034945543693917794,3.285710028460014e-05
2011,E06000021,248719,44,96956,0.0004538141012418004,112.87218944675936,female,0-4,8505,0.03419521628826105,1.551827134662616e-05
2011,E06000021,248719,44,96956,0.0004538141012418004,112.87218944675936,male,0-4,8663,0.03483047133512116,1.5806559044776306e-05
2011,E06000051,307108,96,112425,0.0008539026017344896,262.2403202134756,female,0-4,7671,0.024978183570600568,2.132893593753751e-05
2011,E06000051,307108,96,112425,0.0008539026017344896,262.2403202134756,male,0-4,8061,0.02624809513265692,2.241331672435013e-05
2011,E07000039,94915,17,34183,0.0004973232308457421,47.20343445572361,female,0-4,2772,0.029205078227888114,1.4524363861395956e-05
2011,E07000039,94915,17,34183,0.0004973232308457421,47.20343445572361,male,0-4,2950,0.03108044039403677,1.5457025032870875e-05
2011,E07000192,97582,192,11792,0.016282225237449117,1588.8521031207597,female,0-4,2898,0.029698100059437193,0.0004835511542920573
2011,E07000192,97582,192,11792,0.016282225237449117,1588.8521031207597,male,0-4,2917,0.029892808099854482,0.000486721434461674
2011,E07000193,113858,67,40034,0.0016735774591597145,190.55018234500676,female,0-4,3456,0.03035359834179416,5.079909798921439e-05
2011,E07000193,113858,67,40034,0.0016735774591597145,190.55018234500676,male,0-4,3552,0.03119675385128845,5.221018404447035e-05
2011,E07000194,100911,492,33310,0.014770339237466224,1490.4897027919546,female,0-4,2572,0.025487806086551514,0.0003764635423171223
2011,E07000194,100911,492,33310,0.014770339237466224,1490.4897027919546,male,0-4,2713,0.026885076948994658,0.00039710170696203456
2011,E07000195,123878,8,44960,0.00017793594306049823,22.0423487544484,female,0-4,3117,0.02516185279064886,4.477198005453535e-06
2011,E07000195,123878,8,44960,0.00017793594306049823,22.0423487544484,male,0-4,3273,0.02642115629893928,4.701273362800583e-06
2011,E07000196,108318,279,30649,0.009103070246990114,986.0263630134751,female,0-4,2380,0.02197234070052992,0.00020001576088772384
2011,E07000196,108318,279,30649,0.009103070246990114,986.0263630134751,male,0-4,2508,0.02315404641887775,0.000210772911053114
2011,E07000197,130895,70,16341,0.004283703567713114,560.7153784958081,female,0-4,3464,0.026463959662324763,0.00011336375842131653
2011,E07000197,130895,70,16341,0.004283703567713114,560.7153784958081,male,0-4,3501,0.026746628977424653,0.00011457462997489296
2011,E07000199,76895,365,27550,0.0132486388384755,1018.7540834845737,female,0-4,2441,0.03174458677417257,0.0004205725652476584
2011,E07000199,76895,365,27550,0.0132486388384755,1018.7540834845737,male,0-4,2633,0.03424149814682359,0.0004536532422355938
2011,E07000218,62089,195,23444,0.008317693226411875,516.4372547346869,female,0-4,1682,0.0270901447921532,0.00022532751384020958
2011,E07000218,62089,195,23444,0.008317693226411875,516.4372547346869,male,0-4,1625,0.02617210778076632,0.00021769156360900156
2011,E07000219,125409,29,49657,0.0005840062831020803,73.23964395754878,female,0-4,3852,0.030715498887639643,1.7938044338996508e-05
2011,E07000219,125409,29,49657,0.0005840062831020803,73.23964395754878,male,0-4,4085,0.03257341977051089,1.9023081808099883e-05
