date,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+,unassigned
2020-03-02,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2020-03-18,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-03-19,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
2020-03-22,0,0,0,2,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0
2020-03-23,0,0,0,0,0,2,3,0,0,2,1,1,1,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,1,2,1,2,1,2,0,2,0,0,0,1,0,0
2020-03-25,0,0,0,0,0,1,1,0,1,0,0,3,0,0,1,0,1,1,0,0
2020-03-26,0,0,0,0,2,0,1,1,1,2,3,0,1,0,1,3,0,1,1,0
2020-03-27,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,2,2,0,1,0
2020-03-28,0,0,0,0,1,1,1,0,2,2,2,1,1,1,0,1,1,2,0,0
2020-03-29,0,1,0,0,2,3,2,0,4,0,1,3,2,2,2,4,0,1,0,0
2020-03-30,0,0,0,0,0,1,2,0,1,6,5,2,0,1,0,2,3,1,3,0
2020-03-31,0,0,0,0,1,2,0,0,2,2,5,2,1,1,2,3,4,4,0,0
2020-04-01,1,0,0,1,1,0,2,1,0,1,3,2,2,0,3,5,0,2,2,0
2020-04-02,0,0,0,1,0,2,0,1,0,1,1,2,2,2,2,0,0,0,1,0
2020-04-03,0,0,0,0,1,0,0,2,0,1,2,1,0,1,2,2,2,0,1,0
2020-04-04,0,0,0,0,0,2,0,0,0,0,1,2,0,2,1,2,0,0,1,0
