date,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+,unassigned
2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0
2020-03-12,0,0,0,0,1,1,2,0,0,0,1,0,1,0,0,1,0,0,1,0
2020-03-13,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
2020-03-14,1,0,0,0,0,0,0,0,0,1,1,0,2,1,2,1,0,3,2,0
2020-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0
2020-03-16,0,0,0,0,0,0,0,1,0,2,1,2,1,2,1,1,1,1,0,0
2020-03-17,0,0,0,0,0,0,1,2,3,2,1,3,0,2,1,2,2,1,1,0
2020-03-18,0,0,0,1,0,1,0,0,0,2,1,2,3,0,2,0,0,3,0,0
2020-03-19,0,0,0,0,0,1,3,0,0,0,1,2,0,0,0,1,0,1,0,0
2020-03-20,1,0,0,0,0,2,1,1,1,1,5,3,1,1,1,1,3,4,1,0
2020-03-21,1,0,0,0,0,0,0,2,3,0,0,2,0,3,2,2,5,2,4,0
2020-03-22,0,0,0,0,0,0,3,1,3,1,2,2,2,3,1,2,3,0,1,0
2020-03-23,0,0,0,0,1,0,1,2,2,4,1,2,2,4,1,3,3,4,4,0
2020-03-24,0,0,0,1,1,1,0,1,1,1,3,2,1,4,2,1,4,3,1,0
2020-03-25,0,0,0,1,0,1,2,1,2,4,7,4,5,2,3,4,4,3,1,0
2020-03-26,0,0,0,0,0,1,0,2,1,3,6,5,1,7,4,3,5,3,3,0
2020-03-27,0,0,0,0,0,1,4,1,3,2,4,4,3,4,4,3,6,2,1,0
2020-03-28,0,0,0,0,0,0,0,2,0,1,4,1,2,2,1,5,2,2,0,0
2020-03-29,0,0,0,0,0,1,0,2,3,1,2,3,2,2,1,4,2,1,2,0
2020-03-30,0,1,0,0,1,1,1,0,5,5,7,3,6,3,6,4,3,6,5,0
2020-03-31,1,1,0,0,0,3,4,2,5,5,6,6,3,2,3,5,2,1,0,0
2020-04-01,0,0,1,1,1,1,5,2,5,6,5,4,6,4,3,4,3,6,1,0
2020-04-02,0,0,0,1,1,2,9,5,5,5,10,7,5,5,8,2,10,3,5,0
2020-04-03,0,0,0,0,1,2,0,4,6,2,5,4,2,5,4,2,7,2,3,0
2020-04-04,1,0,0,0,0,1,2,2,6,5,5,8,4,3,2,1,3,3,3,0
2020-04-05,0,0,0,0,0,2,3,3,2,2,1,2,7,7,3,2,1,0,0,0
2020-04-06,0,0,1,0,0,3,3,4,4,3,4,0,2,2,2,2,3,2,5,0
2020-04-07,0,0,1,0,2,1,4,3,4,2,5,4,5,3,5,1,1,3,1,0
2020-04-08,1,0,0,0,0,3,9,3,4,5,6,3,9,2,5,3,2,2,2,0
2020-04-09,0,0,0,0,1,0,4,3,4,5,5,3,5,1,2,5,5,1,0,0
2020-04-10,0,0,0,0,0,3,1,1,1,4,1,5,2,0,3,1,0,2,1,0
2020-04-11,1,1,0,0,1,2,1,1,2,0,3,3,4,0,2,1,0,1,1,0
2020-04-12,0,0,0,0,0,0,1,4,4,2,4,5,1,1,1,2,2,1,3,0
2020-04-13,0,0,0,0,0,3,2,1,1,2,2,2,3,1,1,3,2,2,1,0
2020-04-14,1,0,0,0,0,2,5,1,3,5,5,7,1,2,4,3,3,5,5,0
2020-04-15,0,0,0,0,0,3,2,3,3,5,2,4,7,2,2,0,3,3,3,0
2020-04-16,0,0,0,0,0,1,4,2,1,5,4,6,1,0,2,2,0,1,4,0
2020-04-17,0,1,0,0,1,2,2,5,2,2,6,6,2,3,0,0,2,0,0,0
2020-04-18,0,1,0,1,0,0,2,1,2,3,1,5,3,2,2,3,2,3,0,0
2020-04-19,0,0,0,0,0,0,1,2,2,0,1,1,2,1,1,0,3,0,0,0
2020-04-20,0,0,0,0,0,0,4,0,4,5,1,0,0,3,1,2,3,2,0,0
2020-04-21,0,0,0,0,0,3,2,3,5,1,0,4,0,2,2,1,0,0,1,0
2020-04-22,0,0,0,1,0,2,0,4,1,1,0,1,2,3,2,2,3,3,3,0
2020-04-23,0,0,1,1,2,1,1,2,1,0,2,3,6,1,1,1,2,3,6,0
2020-04-24,0,0,0,0,0,1,3,3,2,1,3,2,0,0,1,3,1,2,2,0
2020-04-25,0,0,0,0,1,0,0,0,1,1,2,1,3,0,1,1,2,0,2,0
2020-04-26,0,0,0,0,3,0,3,1,1,2,0,1,2,2,2,0,1,2,2,0
2020-04-27,0,1,1,1,2,0,1,2,3,4,7,5,3,0,0,0,3,0,2,0
2020-04-28,0,0,0,1,1,4,1,3,3,3,3,6,5,0,0,1,0,1,0,0
2020-04-29,0,0,0,0,0,2,2,4,2,1,1,1,1,1,0,1,1,0,0,0
2020-04-30,0,0,0,0,2,2,2,2,2,2,0,3,0,0,0,0,3,3,5,0
2020-05-01,0,0,0,0,0,2,1,3,3,1,3,0,0,0,1,0,1,3,0,0
2020-05-02,0,0,0,1,0,1,0,2,1,2,1,1,2,2,0,1,1,2,2,0
2020-05-03,0,0,0,0,0,0,2,0,0,0,2,0,1,0,1,1,0,0,0,0
2020-05-04,0,0,0,0,1,1,2,1,1,1,1,0,2,0,1,3,1,0,0,0
2020-05-05,0,0,0,0,0,1,0,2,0,0,2,1,1,0,0,0,0,1,2,0
2020-05-06,0,0,0,0,0,0,0,1,0,2,1,2,0,0,0,1,2,1,0,0
2020-05-07,0,0,0,0,1,3,0,0,1,1,0,1,0,0,0,0,2,1,0,0
2020-05-08,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,2,4,0
2020-05-09,0,0,0,0,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0
2020-05-10,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
2020-05-11,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0
2020-05-12,0,0,0,0,1,1,1,0,0,0,1,3,1,0,0,1,0,0,1,0
2020-05-13,0,0,0,0,0,0,2,1,0,0,4,0,0,0,0,0,1,0,0,0
2020-05-14,0,0,0,0,2,0,0,1,1,0,2,0,1,0,0,1,1,0,0,0
2020-05-15,0,0,0,0,0,2,1,0,0,3,1,0,1,0,1,0,0,0,1,0
2020-05-16,0,0,0,0,0,0,3,2,0,2,0,0,0,2,0,0,0,1,0,0
2020-05-17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2020-05-18,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,2,0
2020-05-19,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0
2020-05-20,0,0,1,0,1,2,2,0,0,0,2,0,0,2,0,0,1,0,1,0
2020-05-21,0,0,0,1,1,0,2,0,0,1,0,0,2,0,0,0,1,1,0,0
2020-05-22,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
2020-05-23,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,4,0
2020-05-24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2020-05-25,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
2020-05-26,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0
2020-05-27,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0
2020-05-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-05-29,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0
2020-05-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-06-02,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2020-06-03,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-06-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2020-06-05,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2020-06-06,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2020-06-07,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-06-08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2020-06-09,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
2020-06-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-11,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-06-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-06-18,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-20,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-06-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-06-23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-24,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2020-06-25,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-06-26,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-30,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-02,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-03,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-07-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-05,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2020-07-06,0,0,0,0,0,1,2,1,1,0,1,0,1,0,0,0,0,0,0,0
2020-07-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-08,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-09,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-07-10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
