year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ags_ppln_ltla,agsf_ppln_ltla,tfp_ltla_ags,ltla_frac_tp,ags_ltla_frac_tp
2016,E06000030,218580,158855,121,84880,0.0014255419415645618,311.5949575871819,female,0-4,7330,0.033534632628785796,4.780502530729361e-05,0.0007617009222246702,2.5543360599811657e-05
2016,E06000030,218580,158855,121,84880,0.0014255419415645618,311.5949575871819,male,0-4,7749,0.03545155091957178,5.053767272936128e-05,0.0007617009222246702,2.700347902973268e-05
2016,E06000036,119730,158855,7938,45915,0.17288467820973538,20699.482522051618,female,0-4,3711,0.03099473816086194,0.005358515333135622,0.04997009851751597,0.001548810119422883
2016,E06000036,119730,158855,7938,45915,0.17288467820973538,20699.482522051618,male,0-4,4028,0.0336423619811242,0.005816248925322093,0.04997009851751597,0.00168111214255871
2016,E06000037,158576,158855,35279,55970,0.6303198141861711,99953.59485438628,female,0-4,4657,0.029367621834325498,0.018510993937701788,0.22208303169557142,0.006522050490656065
2016,E06000037,158576,158855,35279,55970,0.6303198141861711,99953.59485438628,male,0-4,4841,0.030527948743819998,0.019242370979689578,0.22208303169557142,0.006779739408474556
2016,E06000038,162701,158855,50245,56299,0.8924670065187659,145205.27442760972,female,0-4,5938,0.03649639522805637,0.03257182859790924,0.31629473419155835,0.011543617627608149
2016,E06000038,162701,158855,50245,56299,0.8924670065187659,145205.27442760972,male,0-4,6312,0.03879509038051395,0.034623338179522255,0.31629473419155835,0.012270682799842142
2016,E06000039,147736,158855,3139,70316,0.04464133340918141,6595.132032538825,female,0-4,6440,0.043591270915687444,0.0019459724586771557,0.01976015863523339,0.0008613704284054194
2016,E06000039,147736,158855,3139,70316,0.04464133340918141,6595.132032538825,male,0-4,6782,0.045906211079222395,0.0020493144743398244,0.01976015863523339,0.0009071140132679432
2016,E06000040,149689,158855,5641,65023,0.08675391784445503,12986.10720821863,female,0-4,4320,0.028859836060097937,0.002503703846562177,0.03551037109313525,0.001024823488181124
2016,E06000040,149689,158855,5641,65023,0.08675391784445503,12986.10720821863,male,0-4,4638,0.030984240658966256,0.0026880042686007817,0.03551037109313525,0.001100261883838901
2016,E06000041,163087,158855,41502,52756,0.786678292516491,128297.00269163697,female,0-4,4909,0.03010049850693188,0.02367940876932836,0.26125712127411793,0.007863969588836908
2016,E06000041,163087,158855,41502,52756,0.786678292516491,128297.00269163697,male,0-4,5219,0.03200132444646109,0.02517474727380825,0.26125712127411793,0.00836057390184148
2016,E06000054,492240,158855,134,182549,0.0007340494880826517,361.3285200138045,female,0-4,13581,0.02759019990248659,2.025257211451831e-05,0.0008435365584967423,2.3273342273980696e-05
2016,E06000054,492240,158855,134,182549,0.0007340494880826517,361.3285200138045,male,0-4,14583,0.029625792296440762,2.1746797669245307e-05,0.0008435365584967423,2.499043887647894e-05
2016,E06000060,533056,158855,1949,206042,0.009459236466351521,5042.302753807477,female,0-4,16325,0.030625300156081163,0.00028969195602936387,0.012269050391866796,0.00037574335088100583
2016,E06000060,533056,158855,1949,206042,0.009459236466351521,5042.302753807477,male,0-4,16875,0.03165708668507624,0.00029945186878992434,0.012269050391866796,0.0003884023917988958
2016,E07000084,175226,158855,1316,67392,0.019527540360873695,3421.732787274454,female,0-4,5564,0.0317532786230354,0.0006200634299013916,0.00828428441031129,0.0002630531910730829
2016,E07000084,175226,158855,1316,67392,0.019527540360873695,3421.732787274454,male,0-4,5951,0.03396185497585975,0.0006631914937712403,0.00828428441031129,0.00028134966572176777
2016,E07000089,94882,158855,297,37737,0.007870259957071309,746.7460052468399,female,0-4,2707,0.02853017432178917,0.00022453988853304139,0.0018696295363696454,5.334085658979185e-05
2016,E07000089,94882,158855,297,37737,0.007870259957071309,746.7460052468399,male,0-4,2828,0.029805442549693303,0.00023457658100164055,0.0018696295363696454,5.572513573547519e-05
2016,E07000092,96091,158855,31,42413,0.0007309079763280126,70.23367835333507,female,0-4,3320,0.0345505822605655,2.5253296161024463e-05,0.00019514651726417173,6.7424257975986315e-06
2016,E07000092,96091,158855,31,42413,0.0007309079763280126,70.23367835333507,male,0-4,3513,0.03655909502450802,2.672133416074667e-05,0.00019514651726417173,7.1343800683626495e-06
2016,E07000093,122823,158855,17,47063,0.0003612179419076557,44.365871278924,female,0-4,3546,0.028870814098336632,1.042865604979969e-05,0.00010701583204809418,3.0896341926393426e-06
2016,E07000093,122823,158855,17,47063,0.0003612179419076557,44.365871278924,male,0-4,3571,0.029074359036988188,1.0502180133625124e-05,0.00010701583204809418,3.1114167236083172e-06
2016,E07000094,123100,158855,8,44010,0.0001817768688934333,22.37673256078164,female,0-4,3267,0.02653939886271324,4.824248827577957e-06,5.036039155204432e-05,1.3365345182821184e-06
2016,E07000094,123100,158855,8,44010,0.0001817768688934333,22.37673256078164,male,0-4,3303,0.026831844029244517,4.8774085942730315e-06,5.036039155204432e-05,1.3512621713761364e-06
