date,12-15,16-17,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
2020-12-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-09,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-12-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2020-12-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-29,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0
2020-12-30,0.0,0.0,1.0,1.0,0.0,2.0,5.0,2.0,3.0,5.0,2.0,1.0,0.0,1.0,5.0,1.0,1.0
2020-12-31,0.0,0.0,0.0,1.0,2.0,0.0,2.0,3.0,4.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0,2.0
2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
2021-01-03,0.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,2.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,0.0
2021-01-04,0.0,0.0,2.0,3.0,0.0,3.0,0.0,3.0,7.0,7.0,6.0,1.0,1.0,0.0,6.0,3.0,2.0
2021-01-05,0.0,0.0,3.0,1.0,2.0,3.0,5.0,14.0,11.0,9.0,5.0,4.0,1.0,3.0,5.0,5.0,1.0
2021-01-06,0.0,0.0,2.0,4.0,5.0,7.0,7.0,11.0,19.0,20.0,13.0,9.0,6.0,2.0,157.0,109.0,40.0
2021-01-07,0.0,0.0,3.0,3.0,5.0,3.0,8.0,17.0,10.0,20.0,10.0,3.0,4.0,3.0,152.0,104.0,46.0
2021-01-08,0.0,0.0,1.0,4.0,3.0,2.0,5.0,13.0,11.0,8.0,6.0,3.0,6.0,4.0,125.0,93.0,51.0
2021-01-09,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0
2021-01-10,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
2021-01-11,0.0,0.0,2.0,1.0,5.0,5.0,4.0,5.0,4.0,2.0,1.0,2.0,1.0,0.0,4.0,1.0,1.0
2021-01-12,0.0,0.0,1.0,2.0,2.0,6.0,6.0,3.0,2.0,5.0,4.0,0.0,0.0,1.0,4.0,5.0,1.0
2021-01-13,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,6.0,1.0,4.0,0.0,1.0,6.0,5.0,0.0
2021-01-14,0.0,0.0,0.0,2.0,1.0,1.0,4.0,3.0,2.0,5.0,5.0,5.0,1.0,1.0,2.0,1.0,2.0
2021-01-15,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,4.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0
2021-01-16,0.0,0.0,0.0,1.0,3.0,3.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0
2021-01-17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-18,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
